parameter,value
threshold0,46.26172269776964
threshold1,161.34089246293044
threshold2,245.5431310008012
low_bound,67.81265230625581
mid_bound,122.5851859505244
close_threshold,3.4633292255514485
enhance0,0.04482497360962763
enhance1,0.08401601978858539
enhance2,0.028718715967354178
reduce0,0.5381669257303376
reduce1,0.5043531212373914
reduce2,0.9428172524366052
R_enh1,0.04117325109405356
R_enh2,0.17916302246987337
R_enh3,0.143228488617854
R_enh4,0.26505821103145044
R_red1,0.27905485634418714
R_red2,0.10632191792138167
R_red3,0.21119271036342593
R_red4,0.32819904417774304
G_enh1,0.04879177038271812
G_enh2,0.06332011689399882
G_enh3,0.041159767809846
G_enh4,0.06760941342990243
G_red1,0.010869953345651705
G_red2,0.1411872280001897
G_red3,0.12393724248835608
G_red4,0.04559714296780613
B_enh1,0.038952325654492546
B_enh2,0.046813050064697874
B_enh3,0.015109342785215894
B_enh4,0.22118936275858267
B_red1,0.09958715971971957
B_red2,0.32878134388709696
B_red3,0.3555237434070043
B_red4,0.03695662758975628
