parameter,value
close_threshold,5
RG_enh0,0.015575836575970963
RG_enh1,0.07799600936524465
RG_enh2,0.07675898485155144
RG_red0,0.6205436454035814
RG_red1,0.7868143598813082
RG_red2,0.6546774398667239
RB_enh0,0.33144082851485185
RB_enh1,0.06308911041667463
RB_enh2,0.19549050975515628
RB_red0,0.15058638459672677
RB_red1,0.09702133853877717
RB_red2,0.3556610771078149
GB_enh0,0.15374755982360053
GB_enh1,0.2329319682038756
GB_enh2,0.032267371038432656
GB_red0,0.49590845277133244
GB_red1,0.10434365842217966
GB_red2,0.7740599371290053
