parameter,value
threshold0,77
threshold1,95
threshold2,111
low_bound,126
mid_bound,236
close_threshold,3
enhance0,0.02534091591233719
enhance1,0.05123812538392141
enhance2,0.14097182278232065
reduce0,0.11695116439738287
reduce1,0.4676364838192943
reduce2,0.7932112588097777
R_enh1,0.051792787312257296
R_enh2,0.07978235360528446
R_enh3,0.10398007147006103
R_red1,0.019355126302693444
R_red2,0.1037606932563462
R_red3,0.1746587154005528
R_red4,0.22877019485878258
G_enh1,0.032136780124919447
G_enh2,0.06999517141757253
G_enh3,0.06710657598680386
G_red1,0.24830473460419
G_red2,0.46542257585945773
G_red3,0.5614580438198105
G_red4,0.8021004117444857
B_enh1,0.03184584747355473
B_enh2,0.10124633397868754
B_enh3,0.021602595896382845
B_red1,0.034836398624934435
B_red2,0.10049763333100337
B_red3,0.14005973652424117
B_red4,0.054001989269201134
