parameter,value
threshold0,83
threshold1,157
threshold2,234
low_bound,126
mid_bound,159
close_threshold,3
enhance0,0.011115351493799075
enhance1,0.05739831570448392
enhance2,0.10956799841697192
reduce0,0.19376803886622526
reduce1,0.4835907764877825
reduce2,0.7728133549039665
R_enh1,0.042899627644480916
R_enh2,0.11974154326866453
R_enh3,0.07184895463250239
R_red1,0.044817637846181854
R_red2,0.07962762445452713
R_red3,0.16875356950107928
R_red4,0.24712366655072082
G_enh1,0.011908179853113104
G_enh2,0.08386466964219035
G_enh3,0.09919960469839517
G_red1,0.27985571907418344
G_red2,0.4626977195745311
G_red3,0.5273165544252312
G_red4,0.8012317092325028
B_enh1,0.063348531666948
B_enh2,0.06084153591962791
B_enh3,0.03602064957579266
B_red1,0.029359160835933963
B_red2,0.10196350196398618
B_red3,0.16196995738722067
B_red4,0.021772947382129405
