parameter,value
threshold0,37
threshold1,116
threshold2,139
low_bound,50
mid_bound,103
close_threshold,4
RG_enh0,0.5862051509071036
RG_enh1,0.01690476408039901
RG_enh2,0.15556373939259777
RG_red0,0.4060370362357428
RG_red1,0.5788600164607347
RG_red2,0.1583003102626504
RB_enh0,0.09690821404207282
RB_enh1,0.17179823913068257
RB_enh2,0.7326004496117463
RB_red0,0.6378397901876128
RB_red1,0.25220229754162365
RB_red2,0.4706750675525637
GB_enh0,0.0397858248179985
GB_enh1,0.2829339978699541
GB_enh2,0.011563328929911222
GB_red0,0.01774302388734439
GB_red1,0.6909418530489067
GB_red2,0.7348332027447554
R_enh1,0.3146359727091468
R_enh2,0.35403282099960637
R_enh3,0.1200493994390403
R_red1,0.23491125992355044
R_red2,0.08727940202318038
R_red3,0.4660054840960714
R_red4,0.09999985455002233
G_enh1,0.03541331004254171
G_enh2,0.02233947851397329
G_enh3,0.028299006938941447
G_red1,0.0486879820613982
G_red2,0.06452648547646414
G_red3,0.06682522835842268
G_red4,0.04363970566498994
B_enh1,0.06222595098384377
B_enh2,0.4615495142509733
B_enh3,0.04056637215169188
B_red1,0.09774090372378781
B_red2,0.039333891827939144
B_red3,0.45188453529855566
B_red4,0.081765563294294
